"SubjectID","Angle","Base","Feature","SizeDirection","Manipulation","ExpectedAns","ResponseTime(ms)","GivenAnswer","Correct"
51,"36","0.4","vertex","increase","angle","upward","24805","stayPlace",0
51,"36","0.4","angle","increase","angle","smaller","20887","bigger",0
51,"36","0.4","vertex","increase","distance","upward","23004","downward",0
51,"36","0.4","angle","decrease","angle","bigger","16145","smaller",0
51,"36","0.4","vertex","decrease","angle","downward","22503","downward",1
51,"36","0.4","vertex","decrease","distance","downward","21291","stayPlace",0
51,"36","0.4","angle","decrease","distance","same","20867","smaller",0
51,"36","0.4","angle","increase","distance","same","11423","bigger",0
52,"36","0.4","vertex","decrease","distance","downward","27730","stayPlace",0
52,"36","0.4","angle","increase","angle","smaller","43897","bigger",0
52,"36","0.4","angle","decrease","angle","bigger","15991","smaller",0
52,"36","0.4","vertex","increase","distance","upward","19731","downward",0
52,"36","0.4","angle","decrease","distance","same","13445","smaller",0
52,"36","0.4","vertex","decrease","angle","downward","11416","downward",1
52,"36","0.4","vertex","increase","angle","upward","12053","upward",1
52,"36","0.4","angle","increase","distance","same","18318","bigger",0
53,"36","0.4","angle","decrease","angle","bigger","21572","smaller",0
53,"36","0.4","angle","decrease","distance","same","15079","same",1
53,"36","0.4","vertex","decrease","distance","downward","15269","downward",1
53,"36","0.4","vertex","increase","angle","upward","13002","stayPlace",0
53,"36","0.4","angle","increase","distance","same","13794","bigger",0
53,"36","0.4","angle","increase","angle","smaller","12240","bigger",0
53,"36","0.4","vertex","decrease","angle","downward","7801","stayPlace",0
53,"36","0.4","vertex","increase","distance","upward","8912","upward",1
54,"36","0.4","angle","increase","distance","same","11151","smaller",0
54,"36","0.4","angle","increase","angle","smaller","4448","bigger",0
54,"36","0.4","angle","decrease","distance","same","7047","smaller",0
54,"36","0.4","vertex","increase","distance","upward","14240","downward",0
54,"36","0.4","angle","decrease","angle","bigger","8800","smaller",0
54,"36","0.4","vertex","increase","angle","upward","8623","upward",1
54,"36","0.4","vertex","decrease","distance","downward","20430","upward",0
54,"36","0.4","vertex","decrease","angle","downward","4456","downward",1
55,"36","0.4","angle","increase","angle","smaller","22371","smaller",1
55,"36","0.4","angle","increase","distance","same","18416","bigger",0
55,"36","0.4","angle","decrease","distance","same","9361","smaller",0
55,"36","0.4","vertex","increase","distance","upward","21496","downward",0
55,"36","0.4","angle","decrease","angle","bigger","14526","bigger",1
55,"36","0.4","vertex","decrease","distance","downward","14235","upward",0
55,"36","0.4","vertex","decrease","angle","downward","15314","downward",1
55,"36","0.4","vertex","increase","angle","upward","10616","upward",1
56,"36","0.4","vertex","decrease","distance","downward","7534","stayPlace",0
56,"36","0.4","vertex","increase","distance","upward","12702","downward",0
56,"36","0.4","angle","decrease","distance","same","16520","smaller",0
56,"36","0.4","vertex","decrease","angle","downward","9480","downward",1
56,"36","0.4","angle","increase","angle","smaller","35405","smaller",1
56,"36","0.4","vertex","increase","angle","upward","9367","upward",1
56,"36","0.4","angle","decrease","angle","bigger","5486","bigger",1
56,"36","0.4","angle","increase","distance","same","16543","same",1
